question_id,asset_class,tier,factor,dimension,question,default_gate,default_scored,applicability,evidence_standard,failure_example,status,version_added,supersedes
CRY-ID01,crypto,core,evidence_quality,evidence_quality,Is the canonical chain and contract or native-asset identity verified?,YES,NO,All assessments unless explicitly inapplicable.,Official project source plus explorer or canonical registry.,"The ticker maps to multiple contracts, wrappers, or chains.",active,1.0.0,
CRY-ID02,crypto,core,evidence_quality,evidence_quality,"Is the evaluated exposure the spot token rather than a derivative, wrapper, or yield-bearing position?",YES,NO,All assessments unless explicitly inapplicable.,Exact venue instrument and settlement asset.,"Analysis of the token is used to justify a perpetual, wrapped token, vault, or lending position.",active,1.0.0,
CRY-U01,crypto,core,use_case,durability,Does decentralization or tokenization materially improve the primary use case?,NO,YES,All assessments unless explicitly inapplicable.,Threat model and comparison with centralized alternatives.,The token exists mainly for fundraising or speculation.,active,1.0.0,
CRY-A01,crypto,core,adoption_pmf,durability,Is active usage material after excluding identifiable non-economic activity?,NO,YES,All assessments unless explicitly inapplicable.,"Addresses/users with methodology, retention, sybil analysis, and incentive adjustment.",Reported activity is dominated by airdrop farming or self-transfers.,active,1.0.0,
CRY-A02,crypto,deep,adoption_pmf,durability,Is reported TVL economically real and sufficiently diversified?,NO,YES,Protocols or networks where TVL is decision-relevant.,"Asset composition, rehypothecation, recursive deposits, bridges, whales, and chain concentration.","TVL is circular, incentive-rented, or concentrated in one depositor or unstable asset.",active,1.0.0,
CRY-ECO01,crypto,core,economics_quality,durability,"Are fees, protocol revenue, holder revenue, and token incentives measured separately?",NO,YES,All assessments unless explicitly inapplicable.,Transparent methodology reconcilable to contracts or on-chain records.,Gross fees or TVL are presented as token-holder earnings.,active,1.0.0,
CRY-ECO02,crypto,deep,economics_quality,durability,Is fee-paying activity recurring across adverse market conditions?,NO,YES,All assessments unless explicitly inapplicable.,Multi-period fee/activity history including drawdowns.,Revenue exists only during one speculative surge.,active,1.0.0,
CRY-VC01,crypto,core,instrument_value_capture,value_capture,Is the token’s value-capture mechanism currently enabled?,NO,YES,All assessments unless explicitly inapplicable.,"Active contract, governance execution, redemption, fee routing, burn, or required-use mechanics.",A fee switch or distribution exists only as a proposal.,active,1.0.0,
CRY-VC02,crypto,core,instrument_value_capture,value_capture,"Does protocol or network growth increase token demand, scarcity, or holder distributions?",NO,YES,All assessments unless explicitly inapplicable.,Mechanistic transmission from usage to this token.,The product grows while users can bypass the token indefinitely.,active,1.0.0,
CRY-VC03,crypto,deep,instrument_value_capture,value_capture,Does an unencumbered spot holder benefit from at least one active capture route?,NO,YES,All assessments unless explicitly inapplicable.,"Mechanics distinguishing spot holders from lockers, stakers, LPs, lenders, and wrappers.","All modeled value accrues only after taking a separate lock, liquidity, credit, or smart-contract risk.",active,1.0.0,
CRY-VC04,crypto,deep,instrument_value_capture,value_capture,Is value capture difficult for governance or insiders to revoke?,NO,YES,All assessments unless explicitly inapplicable.,Contractual/protocol constraints and governance thresholds.,A small multisig or company can stop distributions or redirect fees.,active,1.0.0,
CRY-SUP01,crypto,core,supply_dilution,entry,"Are circulating, total, maximum, and fully diluted supplies reconciled?",NO,YES,All assessments unless explicitly inapplicable.,Explorer and official tokenomics with unit conversions.,Market capitalization is compared without accounting for non-circulating supply.,active,1.0.0,
CRY-SUP02,crypto,core,supply_dilution,entry,Is the dated unlock and emission schedule acceptable over the investment horizon?,NO,YES,All assessments unless explicitly inapplicable.,"Official vesting, emissions, staking rewards, treasury sales, and unlock recipients.",Material insider or ecosystem supply unlocks before the thesis matures.,active,1.0.0,
CRY-SUP03,crypto,deep,supply_dilution,entry,Is ownership distribution sufficiently resistant to coordinated selling or control?,NO,YES,All assessments unless explicitly inapplicable.,"Holder clustering adjusted for exchanges, bridges, contracts, and market makers.",Insiders or whales can dominate float or governance.,active,1.0.0,
CRY-SUP04,crypto,deep,supply_dilution,entry,"Is net issuance favorable after combining minting, emissions, burns, and treasury sales?",NO,YES,All assessments unless explicitly inapplicable.,Net supply change under base and stress activity.,Headline burns obscure larger issuance.,active,1.0.0,
CRY-VAL01,crypto,core,valuation,entry,Is valuation assessed using both circulating market capitalization and FDV?,NO,YES,All assessments unless explicitly inapplicable.,Current market data and reconciled supply.,Only the more favorable capitalization measure is used.,active,1.0.0,
CRY-VAL02,crypto,deep,valuation,entry,Is the modeled holder-directed value economically comparable to the token position being valued?,NO,YES,All assessments unless explicitly inapplicable.,"Recipient, lock requirement, dilution, source methodology, and recurrence.","ve-token fees, treasury revenue, or temporary buybacks are treated as passive spot-holder yield.",active,1.0.0,
