old_version,old_id,new_version,new_id,construct_id,relation,poolable,note
1.0.0,COM-G01,2.0.0,CRY-ID01,crypto_instrument_identity,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-G01,2.0.0,STK-ID01,stock_instrument_identity,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-U01,2.0.0,COM-U01,durable_problem,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-U02,2.0.0,COM-U02,architecture_necessity,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-A01,2.0.0,COM-A01,material_adoption,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-A02,2.0.0,COM-A02,retention,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-A03,2.0.0,COM-A03,adoption_concentration,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-ECO01,2.0.0,COM-ECO01,economic_transparency,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-ECO02,2.0.0,COM-ECO02,subsidy_independence,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-ECO03,2.0.0,COM-ECO03,owner_economics_path,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-VC01,2.0.0,COM-VC01,instrument_benefit,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-VC02,2.0.0,COM-VC02,active_value_capture,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-VC03,2.0.0,COM-VC03,unencumbered_holder_benefit,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-SUP01,2.0.0,COM-SUP01,claims_transparency,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-VAL01,2.0.0,COM-VAL01,base_case_price_support,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-VAL02,2.0.0,COM-VAL02,opportunity_cost,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-MEM01,2.0.0,COM-MEM01,meme_legibility,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-MEM02,2.0.0,COM-MEM02,meme_self_sustaining,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-MEM03,2.0.0,COM-MEM03,meme_adversity_resilience,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-MEM04,2.0.0,COM-MEM04,meme_economic_conversion,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-MOAT01,2.0.0,COM-MOAT01,defensible_advantage,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-SEC01,2.0.0,COM-SEC01,unresolved_permanent_impairment,revised,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-GOV01,2.0.0,COM-GOV01,holder_control_rights,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-TEAM01,2.0.0,COM-TEAM01,execution_record,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-TEAM02,2.0.0,COM-TEAM02,capital_allocation_alignment,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-REG01,2.0.0,COM-REG01,regulatory_business_survival,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-REG02,2.0.0,COM-REG02,after_tax_return,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-REG03,2.0.0,COM-REG04,geopolitical_operating_survival,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-REG03,2.0.0,COM-REG05,geopolitical_holder_access,split,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-LIQ01,2.0.0,COM-LIQ01,position_exit_time,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-LIQ02,2.0.0,COM-LIQ02,position_exit_loss,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-CAT01,2.0.0,COM-CAT01,recognition_path,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-CAT02,2.0.0,COM-CAT03,catalyst_not_priced,semantic_change,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-POS01,2.0.0,COM-POS01,entry_positioning,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-FM01,2.0.0,COM-FM03,bear_recovery_floor,semantic_change,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
1.0.0,COM-FM02,2.0.0,COM-FM02,observable_falsifiers,editorial,NO,v1.0.0 was draft-invalidated; never pool historical verdicts.
