question_id,asset_class,tier,factor,dimension,question,default_gate,default_scored,applicability,evidence_standard,failure_example,status,version_added,supersedes
STK-ID01,stock,core,evidence_quality,evidence_quality,Is the exact security and share class verified?,YES,NO,All assessments unless explicitly inapplicable.,"Issuer filings, canonical market identifier, exchange, and jurisdiction.",Analysis concerns the company generally but the instrument has inferior or different rights.,active,1.0.0,
STK-U01,stock,core,use_case,durability,Does the company solve a durable customer problem with demonstrated willingness to pay?,NO,YES,All assessments unless explicitly inapplicable.,"Customer behavior, contracts, pricing, and retention.","Demand is primarily promotional, regulatory-arbitrage, or temporary.",active,1.0.0,
STK-A01,stock,core,adoption_pmf,durability,Is customer adoption growing or stable on an economically meaningful basis?,NO,YES,All assessments unless explicitly inapplicable.,"Customers, units, usage, bookings, or revenue with consistent definitions.","Growth comes mainly from acquisitions, price inflation, or metric redefinition.",active,1.0.0,
STK-A02,stock,deep,adoption_pmf,durability,Is customer retention strong enough for the business model?,NO,YES,All assessments unless explicitly inapplicable.,"Gross/net retention, churn, cohorts, renewals, or repeat purchase.",Customer acquisition masks weak repeat demand.,active,1.0.0,
STK-A03,stock,deep,adoption_pmf,durability,Is customer and channel concentration acceptable?,NO,YES,All assessments unless explicitly inapplicable.,"Major-customer, distributor, geography, and platform concentration.",One customer or platform can remove a material share of economics.,active,1.0.0,
STK-ECO01,stock,core,economics_quality,durability,Are unit economics structurally attractive?,NO,YES,All assessments unless explicitly inapplicable.,"Contribution economics, customer acquisition cost, retention, servicing cost, and payback.",Reported growth destroys value at the unit level.,active,1.0.0,
STK-ECO04,stock,deep,economics_quality,durability,Are gross margins structurally attractive for the business model?,NO,YES,All assessments unless explicitly inapplicable.,"Segment gross margins, mix, pricing, input costs, and credible peers across a cycle.","Margins depend on temporary mix, underinvestment, or peak pricing.",active,1.0.0,
STK-ECO02,stock,core,economics_quality,durability,Do reported earnings convert into durable free cash flow?,NO,YES,All assessments unless explicitly inapplicable.,"Cash flow reconciled for working capital, stock compensation, capital expenditure, and one-offs.",Accounting earnings depend on noncash add-backs or unsustainable working-capital release.,active,1.0.0,
STK-ECO03,stock,deep,economics_quality,durability,Can the company fund required growth and maintenance without recurring external capital?,NO,YES,All assessments unless explicitly inapplicable.,"Maintenance/growth capex, working capital, debt maturities, and financing needs.",The base case requires repeated dilution or refinancing.,active,1.0.0,
STK-VC01,stock,core,instrument_value_capture,value_capture,Does this share class hold an enforceable residual claim on company value?,NO,YES,All assessments unless explicitly inapplicable.,"Charter, capital structure, voting/economic rights, and senior claims.","A parent, founder class, variable-interest entity, or contractual structure diverts economics.",active,1.0.0,
STK-VC02,stock,deep,instrument_value_capture,value_capture,Is management using cash generation in ways that can compound per-share value?,NO,YES,All assessments unless explicitly inapplicable.,"Reinvestment returns, debt reduction, dividends, buybacks, and acquisition record.",Cash is retained or spent without improving per-share intrinsic value.,active,1.0.0,
STK-SUP01,stock,core,supply_dilution,entry,Is expected share dilution acceptable over the investment horizon?,NO,YES,All assessments unless explicitly inapplicable.,"Basic/diluted shares, stock compensation, options, convertibles, issuance, and buybacks.",Revenue or earnings growth does not translate into per-share growth.,active,1.0.0,
STK-SUP02,stock,core,supply_dilution,entry,"Are debt, leases, pensions, preferred stock, and other senior claims manageable?",NO,YES,All assessments unless explicitly inapplicable.,"Maturity schedule, covenants, rates, liquidity, and off-balance-sheet claims.",Refinancing or senior claims can absorb most equity value.,active,1.0.0,
STK-SUP03,stock,deep,supply_dilution,entry,Is insider ownership aligned without creating unacceptable control risk?,NO,YES,All assessments unless explicitly inapplicable.,"Beneficial ownership, sales, pledges, related parties, and voting rights.",Insiders can extract value or block accountability while bearing little economic exposure.,active,1.0.0,
