question_id,asset_class,tier,factor,dimension,construct_id,parent_question_id,relation_to_parent,question,default_gate,gate_stage,default_scored,applicability,evidence_standard,failure_example,status,version_added,version_retired,supersedes
COM-U01,common,core,use_case,durability,durable_problem,,,Does the underlying asset or business solve a durable problem for an identifiable beneficiary?,NO,,YES,All assessments unless explicitly inapplicable.,Primary product documentation plus observed demand.,Demand depends only on speculation or a temporary subsidy.,active,2.0.0,,
COM-U02,common,deep,use_case,durability,architecture_necessity,,,Is the chosen architecture economically necessary for the primary use case?,NO,,YES,All assessments unless explicitly inapplicable.,Comparison with credible simpler substitutes.,A cheaper conventional substitute provides the same outcome.,active,2.0.0,,
COM-A01,common,core,adoption_pmf,durability,material_adoption,,,Is material current adoption supported by category-appropriate evidence?,NO,,YES,All assessments unless explicitly inapplicable.,"Users, customers, transactions, occupancy, sales, or other direct activity.","Only registrations, announced partnerships, or vanity metrics are available.",active,2.0.0,,
COM-A02,common,deep,adoption_pmf,durability,retention,,,Does cohort or retention evidence support recurring demand?,NO,,YES,All assessments unless explicitly inapplicable.,"Cohort, renewal, repeat-use, or multi-period activity data.",Usage spikes once and does not recur.,active,2.0.0,,
COM-A03,common,deep,adoption_pmf,durability,adoption_concentration,,,"Is adoption sufficiently diversified across customers, users, integrations, or geographies?",NO,,YES,All assessments unless explicitly inapplicable.,Concentration data using a stated denominator.,"One customer, venue, integrator, or jurisdiction dominates activity.",active,2.0.0,,
COM-ECO01,common,core,economics_quality,control,economic_transparency,,,Is the payer and payment reason for the primary economic activity identifiable from primary evidence?,NO,,YES,All assessments unless explicitly inapplicable.,"Primary records identify who pays, why, and how gross activity reconciles.",Economic activity cannot be traced to an identifiable payer and payment reason.,active,2.0.0,,
COM-ECO02,common,deep,economics_quality,durability,subsidy_independence,,,Is current economic activity durable without exceptional subsidies?,NO,,YES,All assessments unless explicitly inapplicable.,Incentive-adjusted activity or a credible subsidy bridge.,Activity collapses when rewards are removed.,active,2.0.0,,
COM-ECO03,common,deep,economics_quality,durability,owner_economics_path,,,Does the underlying system have a credible path to positive owner economics?,NO,,YES,All assessments unless explicitly inapplicable.,"Unit economics, margins, capital needs, and path assumptions.",Growth permanently requires more capital than it creates.,active,2.0.0,,
COM-VC01,common,core,instrument_value_capture,value_capture,instrument_benefit,,,Does success of the underlying system create an identifiable economic benefit for this instrument?,NO,,YES,All assessments unless explicitly inapplicable.,Legal rights or protocol mechanics connecting system success to the instrument.,"The system can prosper while this instrument receives no incremental demand, cash flow, redemption, or scarcity.",active,2.0.0,,
COM-VC02,common,core,instrument_value_capture,value_capture,active_value_capture,,,Is the value-capture mechanism active today?,NO,,YES,All assessments unless explicitly inapplicable.,"Current distribution, redemption, burn, buyback, claim, rent, or required-use evidence.","Value capture is only proposed, optional, or disabled.",active,2.0.0,,
