question_id,asset_class,tier,factor,dimension,construct_id,parent_question_id,relation_to_parent,question,default_gate,gate_stage,default_scored,applicability,evidence_standard,failure_example,status,version_added,version_retired,supersedes
STK-ID01,stock,core,evidence_quality,legal_claim,stock_instrument_identity,,,Is the exact security and share class verified?,YES,identity,NO,All assessments unless explicitly inapplicable.,"Issuer filings, canonical market identifier, exchange, and jurisdiction.",Analysis concerns the company generally but the instrument has inferior or different rights.,active,2.0.0,,
STK-U01,stock,core,use_case,durability,durable_problem,COM-U01,strict_refinement,Does the company solve a durable customer problem with demonstrated willingness to pay?,NO,,YES,All assessments unless explicitly inapplicable.,"Customer behavior, contracts, pricing, and retention.","Demand is primarily promotional, regulatory-arbitrage, or temporary.",active,2.0.0,,
STK-A01,stock,core,adoption_pmf,durability,material_adoption,COM-A01,strict_refinement,Is customer adoption growing or stable on an economically meaningful basis?,NO,,YES,All assessments unless explicitly inapplicable.,"Customers, units, usage, bookings, or revenue with consistent definitions.","Growth comes mainly from acquisitions, price inflation, or metric redefinition.",active,2.0.0,,
STK-A02,stock,deep,adoption_pmf,durability,retention,COM-A02,strict_refinement,Is customer retention strong enough for the business model?,NO,,YES,All assessments unless explicitly inapplicable.,"Gross/net retention, churn, cohorts, renewals, or repeat purchase.",Customer acquisition masks weak repeat demand.,active,2.0.0,,
STK-A03,stock,deep,adoption_pmf,durability,adoption_concentration,COM-A03,strict_refinement,Is customer and channel concentration acceptable?,NO,,YES,All assessments unless explicitly inapplicable.,"Major-customer, distributor, geography, and platform concentration.",One customer or platform can remove a material share of economics.,active,2.0.0,,
STK-ECO01,stock,core,economics_quality,durability,stock_unit_economics,,,Are contribution economics after acquisition and servicing costs structurally attractive?,NO,,YES,All assessments unless explicitly inapplicable.,"Contribution economics, customer acquisition cost, retention, servicing cost, and payback.",Reported growth destroys value at the unit level.,active,2.0.0,,
STK-ECO04,stock,deep,economics_quality,durability,stock_gross_margin,,,Are gross margins structurally attractive for the business model?,NO,,YES,All assessments unless explicitly inapplicable.,"Segment gross margins, mix, pricing, input costs, and credible peers across a cycle.","Margins depend on temporary mix, underinvestment, or peak pricing.",active,2.0.0,,
STK-ECO02,stock,core,economics_quality,durability,cash_conversion,,,Do reported earnings convert into durable free cash flow?,NO,,YES,All assessments unless explicitly inapplicable.,"Cash flow reconciled for working capital, stock compensation, capital expenditure, and one-offs.",Accounting earnings depend on noncash add-backs or unsustainable working-capital release.,active,2.0.0,,
STK-ECO03,stock,deep,economics_quality,durability,self_funded_reinvestment,,,Can required reinvestment and maintenance be self-funded without recurring external capital?,NO,,YES,All assessments unless explicitly inapplicable.,"Maintenance/growth capex, working capital, debt maturities, and financing needs.",The base case requires repeated dilution or refinancing.,active,2.0.0,,
STK-VC03,stock,core,instrument_value_capture,value_capture,stock_residual_claim,,,Does this share class hold a residual economic claim on company value?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Charter, capital structure, economic rights, and senior claims.","Another class, parent, or contractual structure diverts the residual economics.",active,2.0.0,,STK-VC01
STK-VC04,stock,core,instrument_value_capture,legal_claim,stock_claim_enforceability,,,Is this share class’s residual claim legally enforceable in the relevant ownership structure?,NO,,YES,All supported assemblies unless a bank or manifest rule states otherwise.,"Charter, jurisdiction, VIE/ADR contracts, title chain, and enforcement history.",The holder lacks a reliably enforceable claim on the modeled economics.,active,2.0.0,,STK-VC01
