question_id,asset_class,tier,factor,dimension,question,default_gate,default_scored,applicability,evidence_standard,failure_example,status,version_added,supersedes
COM-G01,common,core,evidence_quality,evidence_quality,Is the exact investable instrument verified?,YES,NO,All assessments unless explicitly inapplicable.,"Issuer, contract, title, share class, or canonical market identifier.","A ticker collision, wrapper, derivative, or different share class remains possible.",active,1.0.0,
COM-U01,common,core,use_case,durability,Does the underlying asset or business solve a durable problem for an identifiable beneficiary?,NO,YES,All assessments unless explicitly inapplicable.,Primary product documentation plus observed demand.,Demand depends only on speculation or a temporary subsidy.,active,1.0.0,
COM-U02,common,deep,use_case,durability,Is the chosen architecture economically necessary for the primary use case?,NO,YES,All assessments unless explicitly inapplicable.,Comparison with credible simpler substitutes.,A cheaper conventional substitute provides the same outcome.,active,1.0.0,
COM-A01,common,core,adoption_pmf,durability,Is material current adoption supported by category-appropriate evidence?,NO,YES,All assessments unless explicitly inapplicable.,"Users, customers, transactions, occupancy, sales, or other direct activity.","Only registrations, announced partnerships, or vanity metrics are available.",active,1.0.0,
COM-A02,common,deep,adoption_pmf,durability,Does cohort or retention evidence support recurring demand?,NO,YES,All assessments unless explicitly inapplicable.,"Cohort, renewal, repeat-use, or multi-period activity data.",Usage spikes once and does not recur.,active,1.0.0,
COM-A03,common,deep,adoption_pmf,durability,"Is adoption sufficiently diversified across customers, users, integrations, or geographies?",NO,YES,All assessments unless explicitly inapplicable.,Concentration data using a stated denominator.,"One customer, venue, integrator, or jurisdiction dominates activity.",active,1.0.0,
COM-ECO01,common,core,economics_quality,durability,Is the source of economic activity clearly identified?,NO,YES,All assessments unless explicitly inapplicable.,"Payer, payment reason, and accounting or on-chain methodology.",Volume or gross activity is presented without identifying who pays.,active,1.0.0,
COM-ECO02,common,deep,economics_quality,durability,Is current economic activity durable without exceptional subsidies?,NO,YES,All assessments unless explicitly inapplicable.,Incentive-adjusted activity or a credible subsidy bridge.,Activity collapses when rewards are removed.,active,1.0.0,
COM-ECO03,common,deep,economics_quality,durability,Does the underlying system have a credible path to positive owner economics?,NO,YES,All assessments unless explicitly inapplicable.,"Unit economics, margins, capital needs, and path assumptions.",Growth permanently requires more capital than it creates.,active,1.0.0,
COM-VC01,common,core,instrument_value_capture,value_capture,Does success of the underlying system create an identifiable economic benefit for this instrument?,NO,YES,All assessments unless explicitly inapplicable.,Legal rights or protocol mechanics connecting system success to the instrument.,"The system can prosper while this instrument receives no incremental demand, cash flow, redemption, or scarcity.",active,1.0.0,
COM-VC02,common,deep,instrument_value_capture,value_capture,Is the value-capture mechanism active today?,NO,YES,All assessments unless explicitly inapplicable.,"Current distribution, redemption, burn, buyback, claim, rent, or required-use evidence.","Value capture is only proposed, optional, or disabled.",active,1.0.0,
COM-VC03,common,deep,instrument_value_capture,value_capture,Does an ordinary holder receive the modeled benefit without an unstated additional exposure?,NO,YES,All assessments unless explicitly inapplicable.,"Exact holder requirements, lockups, wrappers, leverage, or operating obligations.","The modeled return belongs only to a locked wrapper, liquidity provider, lender, or different security.",active,1.0.0,
COM-SUP01,common,core,supply_dilution,entry,Are current and potential future claims on value sufficiently mapped?,NO,YES,All assessments unless explicitly inapplicable.,"Outstanding supply plus dilution, senior claims, options, convertibles, emissions, or contingent liabilities.",A material future claim or senior claimant is omitted.,active,1.0.0,
COM-VAL01,common,core,valuation,entry,Is the current price supportable under explicit base-case assumptions?,NO,YES,All assessments unless explicitly inapplicable.,Category-appropriate valuation model with dated inputs.,"The base case requires unstated growth, margins, adoption, or terminal value.",active,1.0.0,
