case_id,bank_version,bank_hash,bank_commit,runtime_version,runtime_hash,case_spec_hash,checklist_hash,purpose,bank_tier,asset,asset_name,asset_class,subtype,exposure_type,origin,question_id,construct_id,parent_question_id,relation_to_parent,construct_role,specificity_rank,factor,dimension,layer,question,manifest_suppressed,applicable,applicability_reason,applicability_source,evidence_sufficient,verdict,gate,gate_stage,scored,gate_override_reason,scored_override_reason,adjudication,adjudication_reason,explanation,source_ref,source_digest,data_as_of,evidence_available_at,observed_at,confidence,reviewer
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-U01,durable_problem,,,primary,0,use_case,durability,merit,Does the underlying asset or business solve a durable problem for an identifiable beneficiary?,NO,,,,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-A01,material_adoption,,,strict_parent,0,adoption_pmf,durability,merit,Is material current adoption supported by category-appropriate evidence?,NO,,,,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-ECO01,economic_transparency,,,strict_parent,0,economics_quality,control,integrity,Is the payer and payment reason for the primary economic activity identifiable from primary evidence?,YES,NO,Cash-flow/protocol-steward constructs do not define a direct monetary asset.,manifest,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-VC01,instrument_benefit,,,primary,0,instrument_value_capture,value_capture,merit,Does success of the underlying system create an identifiable economic benefit for this instrument?,NO,,,,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-VC02,active_value_capture,,,strict_parent,0,instrument_value_capture,value_capture,merit,Is the value-capture mechanism active today?,YES,NO,Cash-flow/protocol-steward constructs do not define a direct monetary asset.,manifest,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-VC03,unencumbered_holder_benefit,,,strict_parent,0,instrument_value_capture,value_capture,merit,Does an ordinary holder receive the modeled benefit without an unstated additional exposure?,YES,NO,Cash-flow/protocol-steward constructs do not define a direct monetary asset.,manifest,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-SUP01,claims_transparency,,,primary,0,supply_dilution,control,integrity,Are all material current and contingent claims on value disclosed in primary sources?,NO,,,,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-VAL01,base_case_price_support,,,primary,0,valuation,valuation,entry,Is the current price supportable under explicit base-case assumptions?,NO,,,,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-VAL02,opportunity_cost,,,primary,0,valuation,portfolio_fit,fit,Is base-case expected return attractive relative to the next-best use of capital?,NO,,,,,,NO,,YES,,,,,,,,,,,,
EXAMPLE-CRYPTO-SCREEN-001,2.0.0,b59b3b97676c2deb9e4fba398c8558b2de32c4cfdc685e0110c8397fe3449fb6,no-vcs,2.0.0,92a21c418b55602aa9778e2e56f0dafb4f496e2127171d5b78ac5b341d9381e5,ae5e972ee00023631fd1c19829803e82a4df49465f49269e6fc68daa6dff2255,2e9c75282ad1b7487b8570b6854cafa678220ea2f49efdfc9a4777a98f16cb9c,screen,core,BTC,Bitcoin,crypto,monetary,direct,bank,COM-MEM01,meme_legibility,,,primary,0,memetic_strength,meme_cultural_capital,merit,Can the asset’s identity and reason to care be transmitted in one memorable sentence or symbol?,NO,,,,,,NO,,YES,,,,,,,,,,,,
