question_id,asset_class,tier,factor,dimension,construct_id,parent_question_id,relation_to_parent,question,default_gate,gate_stage,default_scored,applicability,evidence_standard,failure_example,status,version_added,version_retired,supersedes
CRY-ID01,crypto,core,evidence_quality,legal_claim,crypto_instrument_identity,,,Is the canonical chain and contract or native-asset identity verified?,YES,identity,NO,All assessments unless explicitly inapplicable.,Official project source plus explorer or canonical registry.,"The ticker maps to multiple contracts, wrappers, or chains.",active,2.0.0,,
CRY-ID03,crypto,core,evidence_quality,legal_claim,instrument_evidence_match,,,"Does every piece of evidence match the exact exposure being evaluated, including any wrapper, staking, or venue layer?",YES,identity,NO,All supported assemblies unless a bank or manifest rule states otherwise.,Instrument identifiers and exposure layers reconciled against every material source.,"Spot-token evidence is used to justify a different wrapped, staked, derivative, or venue exposure.",active,2.0.0,,CRY-ID02
CRY-U01,crypto,core,use_case,durability,crypto_architecture_advantage,,,Does decentralization or tokenization materially improve the primary use case?,NO,,YES,All assessments unless explicitly inapplicable.,Threat model and comparison with centralized alternatives.,The token exists mainly for fundraising or speculation.,active,2.0.0,,
CRY-A01,crypto,core,adoption_pmf,durability,material_adoption,COM-A01,strict_refinement,Is active usage material after excluding identifiable non-economic activity?,NO,,YES,All assessments unless explicitly inapplicable.,"Addresses/users with methodology, retention, sybil analysis, and incentive adjustment.",Reported activity is dominated by airdrop farming or self-transfers.,active,2.0.0,,
CRY-A03,crypto,deep,adoption_pmf,durability,tvl_economic_reality,,,"Is reported TVL economically real after removing recursive, rehypothecated, bridged, and incentive-rented value?",NO,,YES,Protocols or networks where TVL is decision-relevant.,Asset-level TVL composition and methodology adjusted for recursive and rented capital.,"A material share of TVL is circular, duplicated, or rented.",active,2.0.0,,CRY-A02
CRY-A04,crypto,deep,adoption_pmf,durability,tvl_concentration,,,"Is economically real TVL diversified below the predeclared depositor, asset, bridge, and chain concentration limits?",NO,,YES,Protocols or networks where TVL is decision-relevant.,Concentration analysis using economically real TVL and predeclared limits.,"One depositor, asset, bridge, or chain exceeds its limit.",active,2.0.0,,CRY-A02
CRY-ECO01,crypto,core,economics_quality,control,economic_transparency,COM-ECO01,strict_refinement,"Can fees, protocol revenue, holder-directed revenue, and token incentives be separately reconciled to contracts or on-chain records?",NO,,YES,All assessments unless explicitly inapplicable.,Contract-level or on-chain reconciliation of each economic category.,Gross fees or token incentives cannot be separated from holder-directed economics.,active,2.0.0,,
CRY-ECO02,crypto,deep,economics_quality,durability,crypto_fee_recurrence,,,Is fee-paying activity recurring across adverse market conditions?,NO,,YES,All assessments unless explicitly inapplicable.,Multi-period fee/activity history including drawdowns.,Revenue exists only during one speculative surge.,active,2.0.0,,
CRY-VC01,crypto,core,instrument_value_capture,value_capture,active_value_capture,COM-VC02,strict_refinement,Is the token’s value-capture mechanism currently enabled?,NO,,YES,All assessments unless explicitly inapplicable.,"Active contract, governance execution, redemption, fee routing, burn, or required-use mechanics.",A fee switch or distribution exists only as a proposal.,active,2.0.0,,
CRY-VC02,crypto,core,instrument_value_capture,value_capture,growth_to_token,,,"Does protocol or network growth increase token demand, scarcity, or holder distributions?",NO,,YES,All assessments unless explicitly inapplicable.,Mechanistic transmission from usage to this token.,The product grows while users can bypass the token indefinitely.,active,2.0.0,,
CRY-VC03,crypto,core,instrument_value_capture,value_capture,unencumbered_holder_benefit,COM-VC03,strict_refinement,Does an unencumbered spot holder benefit from at least one active capture route?,NO,,YES,All assessments unless explicitly inapplicable.,"Mechanics distinguishing spot holders from lockers, stakers, LPs, lenders, and wrappers.","All modeled value accrues only after taking a separate lock, liquidity, credit, or smart-contract risk.",active,2.0.0,,
CRY-VC04,crypto,deep,instrument_value_capture,value_capture,capture_revocability,,,Is value capture difficult for governance or insiders to revoke?,NO,,YES,All assessments unless explicitly inapplicable.,Contractual/protocol constraints and governance thresholds.,A small multisig or company can stop distributions or redirect fees.,active,2.0.0,,
